YEAR,Duration,PEAK DISCHARGE,PD in m/s,Volume in Cuseecs,V in m/s
1977,79,471324,13346.4094,23336122,660805.3867
1978,65,605011.7,17132.0235,44446642,1258588.743
1979,68,304342,8618.005726,8270844.5,234204.2349
1980,58,373025.6,10562.90869,5664210.5,160392.5798
1981,63,403037,11412.7369,4952542,140240.3721
1982,87,228507,6470.597664,383849,10869.39325
1983,72,321145,9093.813699,7592640,214999.6221
1984,99,453776,12849.50538,15009532,425022.6151
1985,93,308427.5,8733.694202,9309184,263606.7352
1986,54,962887.4,27265.93479,18125218,513249.0176
1987,98,167083.3,4731.272174,6354394.5,179936.4142
1988,60,866493,24536.34935,18126397,513282.4031
1989,94,779796.7,22081.38353,9400360,266188.552
1990,74,441145.4,12491.84662,24539321.5,694876.2024
1991,101,454610.7,12873.14145,20049607,567741.6456
1992,74,551495.7,15616.61913,8659073,245197.6418
1993,78,487214.3,13796.37259,11122061,314941.6951
1994,78,544837,15428.06575,20643325,584553.8672
1995,96,747058,21154.32678,18762035.5,531281.681
1996,96,598719.5,16953.84823,22158030,627445.5363
1997,97,569195.26,16117.81486,7103325,201143.7643
1998,62,498987.4,14129.74966,9245923,261815.3832
1999,91,262681,7438.29758,3894683,110285.141
2000,102,113141,3203.79634,4454749,126144.444
2001,56,155662,4407.856974,2554530,72336.23412
2002,101,176532.6,4998.846553,5277471,149441.3367
2003,93,264116.3,7478.94075,9545941,270310.9469
2004,98,82941,2348.627573,3506440,99291.32356
2005,72,379289.7,10740.28825,10675258.5,302289.6573
2006,76,456534,12927.60324,7775273.5,220171.2269
2007,86,198619.2,5624.269417,5053138,143088.9336
2008,84,218926,6199.293957,5037792,142654.3832
2009,62,135545,3838.206971,3082722,87292.96596
2010,46,898557,25444.30072,17435480,493717.8124
2011,122,134305,3803.094082,4011798.5,113601.4827
2012,113,124039,3512.393334,4856178.5,137511.6616
2013,69,567418,4055772,5700558.5,161421.8405
2014,19,366764,48926,6544938.5,185332.0195
2015,53,745167,13653271,7389318.5,209242.1984
2016,87,325846,5962465,8233698.5,233152.3773
2017,40,459811,2938356,9078078.5,257062.5562
2018,91,256035,5367664,9922458.5,280972.7352
2019,65,422653,5566801,10766838.5,304882.9141
2020,25,570722,4288723,11611218.5,328793.093
2021,27,266344,1592339,12455598.5,352703.2719
2022,64,558218,11173678,13299978.5,376613.4509
